epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,481.341,0.89776,1.3403,1.29804,1.14095,0.866,0.54861,0.59247,0.43063,0.8195,0.49306,0.53502,0.36052,0.87745,2.11276,1.38902,1.10074,0.000566027,0.000566027,0.000566027
63,489.32,0.86777,1.56011,1.33099,1.16057,0.88101,0.54861,0.58659,0.40742,0.82833,0.49306,0.52086,0.33303,0.94556,2.52668,1.47002,1.15863,0.00055188,0.00055188,0.00055188
64,497.006,0.87915,1.42408,1.40117,1.17243,0.88101,0.54861,0.58659,0.40742,0.82833,0.49306,0.52086,0.33303,0.94556,2.52668,1.47002,1.15863,0.000537733,0.000537733,0.000537733
65,504.721,0.81884,1.44932,1.18508,1.21256,0.89456,0.54861,0.59095,0.4128,0.84143,0.49306,0.50983,0.33533,0.8812,2.68769,1.45753,1.12879,0.000523586,0.000523586,0.000523586
66,512.293,0.82686,1.41772,1.16779,1.12694,0.89456,0.54861,0.59095,0.4128,0.84143,0.49306,0.50983,0.33533,0.8812,2.68769,1.45753,1.12879,0.000509438,0.000509438,0.000509438
67,519.776,0.80348,1.38234,1.20248,1.12857,0.89456,0.54861,0.59095,0.4128,0.84143,0.49306,0.50983,0.33533,0.8812,2.68769,1.45753,1.12879,0.000495291,0.000495291,0.000495291
68,527.594,0.7861,1.49802,1.22126,1.12603,0.91006,0.56944,0.58705,0.40429,0.85583,0.51389,0.51196,0.34414,0.80232,2.50812,1.42799,1.07922,0.000481144,0.000481144,0.000481144
69,535.19,0.84515,1.47829,1.39931,1.15817,0.91006,0.56944,0.58705,0.40429,0.85583,0.51389,0.51196,0.34414,0.80232,2.50812,1.42799,1.07922,0.000466997,0.000466997,0.000466997
70,542.832,0.8691,1.3173,1.21544,1.15053,0.90884,0.56944,0.58686,0.40027,0.85476,0.51389,0.51865,0.36619,0.79198,2.21033,1.38499,1.05817,0.00045285,0.00045285,0.00045285
71,550.536,0.80995,1.29605,1.14108,1.08754,0.90884,0.56944,0.58686,0.40027,0.85476,0.51389,0.51865,0.36619,0.79198,2.21033,1.38499,1.05817,0.000438703,0.000438703,0.000438703
72,558.254,0.86027,1.4098,1.2729,1.14761,0.9113,0.56944,0.58065,0.40008,0.85668,0.51389,0.50593,0.34784,0.80489,2.05261,1.36171,1.05538,0.000424556,0.000424556,0.000424556
73,566.063,0.7462,1.21168,1.16052,1.08741,0.9113,0.56944,0.58065,0.40008,0.85668,0.51389,0.50593,0.34784,0.80489,2.05261,1.36171,1.05538,0.000410409,0.000410409,0.000410409
74,574.038,0.89715,1.48858,1.36546,1.19813,0.90107,0.56944,0.58183,0.39281,0.90107,0.56944,0.58183,0.36763,0.81627,1.93511,1.39382,1.06762,0.000396262,0.000396262,0.000396262
75,583.247,0.87285,1.29206,1.20697,1.1708,0.90107,0.56944,0.58183,0.39281,0.90107,0.56944,0.58183,0.36763,0.81627,1.93511,1.39382,1.06762,0.000382115,0.000382115,0.000382115
76,591.327,0.72117,1.25111,1.17619,1.04931,0.90107,0.56944,0.58183,0.39281,0.90107,0.56944,0.58183,0.36763,0.81627,1.93511,1.39382,1.06762,0.000367967,0.000367967,0.000367967
77,599.23,0.76316,1.23138,1.15027,1.09212,0.88057,0.56923,0.58394,0.40226,0.88057,0.56923,0.58394,0.3481,0.82923,1.92211,1.3857,1.0733,0.00035382,0.00035382,0.00035382
78,607.494,0.88047,1.2608,1.1803,1.17608,0.88057,0.56923,0.58394,0.40226,0.88057,0.56923,0.58394,0.3481,0.82923,1.92211,1.3857,1.0733,0.000339673,0.000339673,0.000339673
79,615.27,0.77795,1.28194,1.16155,1.10687,0.83937,0.56804,0.56859,0.39162,0.83937,0.56804,0.56859,0.34966,0.84839,1.93094,1.32764,1.0704,0.000325526,0.000325526,0.000325526
80,623.1,0.6786,1.10018,1.29448,1.09292,0.83937,0.56804,0.56859,0.39162,0.83937,0.56804,0.56859,0.34966,0.84839,1.93094,1.32764,1.0704,0.000311379,0.000311379,0.000311379
81,630.805,0.7699,1.36877,1.13315,1.08736,0.83934,0.56605,0.57776,0.41003,0.83934,0.56605,0.57776,0.36125,0.82358,1.90538,1.30388,1.05022,0.000297232,0.000297232,0.000297232
82,638.792,0.81775,1.13051,1.1379,1.08477,0.83934,0.56605,0.57776,0.41003,0.83934,0.56605,0.57776,0.36125,0.82358,1.90538,1.30388,1.05022,0.000283085,0.000283085,0.000283085
